ts,side,ev_atr,action,reason
2026-07-03 16:35:00,,,skip,MISSED_late
2026-07-03 16:40:00,0,0.113511,no_trade,gate
2026-07-03 16:45:00,0,-0.116620,no_trade,gate
2026-07-03 16:50:00,0,0.015225,no_trade,gate
2026-07-03 16:55:00,0,0.136446,no_trade,gate
2026-07-03 17:00:00,0,-0.025539,no_trade,gate
2026-07-03 17:05:00,0,-0.206484,no_trade,gate
2026-07-03 17:10:00,0,-0.026187,no_trade,gate
2026-07-03 17:15:00,0,-0.136946,no_trade,gate
2026-07-03 17:20:00,0,-0.204620,no_trade,gate
2026-07-03 17:25:00,0,-0.337803,no_trade,gate
2026-07-03 17:30:00,0,-0.260929,no_trade,gate
2026-07-03 17:35:00,0,-0.280200,no_trade,gate
2026-07-03 18:15:00,0,0.013332,no_trade,gate
2026-07-03 18:20:00,0,-0.186410,no_trade,gate
2026-07-03 18:25:00,0,-0.103217,no_trade,gate
2026-07-03 18:30:00,0,-0.153249,no_trade,gate
2026-07-03 18:35:00,0,-0.199076,no_trade,gate
