,,ret
2020,1,0.0
2020,2,0.0
2020,3,0.0
2020,4,0.09293986091231621
2020,5,0.022325979944675778
2020,6,0.03673066283626558
2020,7,0.03833430069881927
2020,8,0.04861608603824541
2020,9,0.010445920425275368
2020,10,0.09227162280491208
2020,11,0.004368567582326399
2020,12,-0.02963086019040806
2021,1,-0.008681997519934148
2021,2,0.018556045951166444
2021,3,-0.03456950493393174
2021,4,0.05940139487327167
2021,5,0.03556341370507132
2021,6,-0.003333484257176944
2021,7,-0.04426279645130149
2021,8,0.015450143605235223
2021,9,-0.02998475003853296
2021,10,-0.012916830851443795
2021,11,-0.012790557951453896
2021,12,0.010545834476581195
2022,1,0.08895712351884666
2022,2,-0.00027137187648107464
2022,3,0.0014245854385006584
2022,4,-0.04387516699384342
2022,5,0.04531748757897813
2022,6,0.07184140271317552
2022,7,0.054419048909906786
2022,8,-0.007957029947575522
2022,9,0.008598845116891018
2022,10,-0.0164488510698374
2022,11,-0.0017350054491218625
2022,12,0.040792287078263545
2023,1,-0.04984669088669347
2023,2,-0.040119107002960286
2023,3,-0.003823218364070069
2023,4,0.004112919343286725
2023,5,0.032583421297876614
2023,6,0.0008141168339559357
2023,7,0.01858797501806997
2023,8,0.0036462267733552434
2023,9,-0.020353217036077287
2023,10,0.014110800374977694
2023,11,0.037695753546958644
2023,12,0.017219516402435575
2024,1,-0.0103951832916932
2024,2,0.054137383343868306
2024,3,0.055487081874594946
2024,4,0.028200374509890214
2024,5,0.004349795751296348
2024,6,0.02171968250472922
2024,7,-0.008833832595865787
2024,8,-0.01949984552463291
2024,9,0.12925613553214443
2024,10,0.04706575885983555
2024,11,-0.025293184101935484
2024,12,0.04809125034098782
2025,1,-0.013459232460224846
2025,2,0.00043990303710317313
2025,3,-0.005001478143281557
2025,4,0.0037124638149335087
2025,5,0.024307674884571417
