tag,ann_ret_pct,ann_vol_pct,sharpe,max_dd_pct,worst_year_pct,years_pos,years_n,months_pos_pct,worst_month_pct,n_trades,exposure_pct,stop_exits
usC|sma50|novc|nostop,8.664440296069142,8.943135351608364,0.9739237189490559,-15.398331679349564,-3.9239951163371423,5,6,56.92307692307692,-3.8468366221449557,878,65.8,0
usC|sma50|novc|stop2.5,8.529616070395928,8.995469113800166,0.9549940400809739,-15.398331679349564,-3.9239951163371423,5,6,55.38461538461539,-3.8468366221449557,878,65.8,1
usC|sma50|volcap|nostop,7.637714870453283,8.591006010352995,0.8997570214253626,-15.84409872346585,-4.430220555594023,4,6,53.84615384615385,-3.8468366221449557,845,63.3,0
usC|sma50|volcap|stop2.5,7.504164543215586,8.645417871589872,0.8802935662185052,-15.84409872346585,-4.430220555594023,4,6,52.307692307692314,-3.8468366221449557,845,63.3,1
usC|sma100|novc|nostop,6.994197483304698,9.296607424082143,0.7738804816356488,-20.646909903616617,-12.265582244282191,5,6,50.76923076923077,-4.5501109272726215,916,68.3,0
usC|sma100|novc|stop2.5,6.658747024857337,9.458702701973163,0.7291058493370216,-20.646909903616617,-12.265582244282191,5,6,50.76923076923077,-5.550911714304241,916,68.3,2
usC|sma100|volcap|nostop,6.744560339486028,9.274427917960718,0.750316838767439,-20.646037377231885,-12.264617561063817,5,6,50.76923076923077,-5.800081818671399,906,67.6,0
usC|sma100|volcap|stop2.5,6.409892548662777,9.43687461129607,0.7058154471004747,-20.646037377231885,-12.264617561063817,5,6,50.76923076923077,-6.787776546973879,906,67.6,2
usC|sma50_rising|novc|nostop,4.566465407985731,8.188441300469243,0.5862828331125367,-16.649959700773664,-6.322748202954919,4,6,46.15384615384615,-3.7316275886576378,801,60.0,0
usC|sma50_rising|novc|stop2.5,4.436725700206412,8.24534179061036,0.5677666777203083,-16.649959700773664,-6.322748202954919,4,6,44.61538461538462,-3.7316275886576378,801,60.0,1
usC|sma50_rising|volcap|nostop,4.494129645923195,8.179172920550297,0.5783922669952907,-16.613821700417585,-6.282132643002736,4,6,46.15384615384615,-3.7316275886576378,792,59.3,0
usC|sma50_rising|volcap|stop2.5,4.364479687956058,8.236133417530828,0.5599057087342004,-16.613821700417585,-6.282132643002736,4,6,44.61538461538462,-3.7316275886576378,792,59.3,1
postgap|sma50|novc|nostop,3.159531404782734,8.454975455564957,0.4102180236815491,-19.471642479410654,-10.595275234840829,4,6,47.69230769230769,-4.639769704924557,920,65.8,0
postgap|sma50|novc|stop2.5,2.9172598250736925,8.548143476650864,0.37919669179925314,-19.471642479410654,-10.595275234840829,4,6,46.15384615384615,-4.639769704924557,920,65.8,1
postgap|sma50|volcap|nostop,3.1577729854997294,8.234852595506572,0.4187507031819601,-18.298337480612027,-9.292640812471497,4,6,47.69230769230769,-4.639769704924557,885,63.3,0
postgap|sma50|volcap|stop2.5,2.9155055354625814,8.330480664581284,0.3866997416341278,-18.298337480612027,-9.292640812471497,4,6,46.15384615384615,-4.639769704924557,885,63.3,1
postgap|sma100|novc|nostop,4.2971374397105855,8.51442298918829,0.5367913937346345,-19.166272538404815,-9.227173029444701,4,6,44.61538461538462,-4.639769704924557,956,68.3,0
postgap|sma100|novc|stop2.5,4.052194176567059,8.607062932099309,0.5046452457931201,-19.166272538404815,-9.227173029444701,4,6,44.61538461538462,-4.639769704924557,956,68.3,1
postgap|sma100|volcap|nostop,4.1984993584746055,8.494316704854246,0.5267205938391298,-18.82782460412862,-8.84711043996198,4,6,44.61538461538462,-4.639769704924557,946,67.6,0
postgap|sma100|volcap|stop2.5,3.95378774822277,8.587163449601785,0.4945959128038885,-18.82782460412862,-8.84711043996198,4,6,44.61538461538462,-4.639769704924557,946,67.6,1
postgap|sma50_rising|novc|nostop,0.9061594718630106,7.803774106570092,0.15465683861457394,-19.132719052341727,-9.446812815196049,4,6,43.07692307692308,-4.639769704924557,839,60.0,0
postgap|sma50_rising|novc|stop2.5,0.6691799671607823,7.904363408007349,0.12397601017498705,-19.132719052341727,-9.446812815196049,3,6,41.53846153846154,-4.639769704924557,839,60.0,1
postgap|sma50_rising|volcap|nostop,0.8992198530433759,7.798074844316909,0.1538308967073563,-19.131908694328594,-9.445905396274712,4,6,43.07692307692308,-4.639769704924557,830,59.3,0
postgap|sma50_rising|volcap|stop2.5,0.6622566461314872,7.898735889914768,0.12313733047432682,-19.131908694328594,-9.445905396274712,3,6,41.53846153846154,-4.639769704924557,830,59.3,1
